steps,floors,elevation,lightlyActiveMinutes,fairlyActiveMinutes,veryActiveMinutes,date
11449,26,260,220,41,16,2023-04-01
12461,12,120,134,62,39,2023-04-02
4544,13,130,213,0,0,2023-04-03
5253,5,50,252,0,0,2023-04-04
8430,13,130,292,15,5,2023-04-05
12588,33,330,185,16,69,2023-04-06
10563,28,280,289,6,13,2023-04-07
5544,16,160,252,0,0,2023-04-08
5323,31,310,207,8,2,2023-04-09
7925,28,280,279,0,0,2023-04-10
3552,15,150,131,0,0,2023-04-11
2513,12,120,154,0,0,2023-04-12
8193,34,340,134,4,59,2023-04-13
4403,38,380,161,0,0,2023-04-14
3673,19,190,214,0,0,2023-04-15
6226,27,270,211,91,46,2023-04-16
3291,17,170,151,0,0,2023-04-17
5621,31,310,205,1,9,2023-04-18
5425,20,200,215,0,0,2023-04-19
7539,33,330,271,12,10,2023-04-20
5561,19,190,248,55,7,2023-04-21
23622,174,1740,237,121,56,2023-04-22
262,0,0,12,0,0,2023-04-23
19016,80,800,292,45,14,2023-04-24
16324,103,1030,307,44,41,2023-04-25
8019,50,500,283,8,2,2023-04-26
5504,37,370,253,0,0,2023-04-27
10343,25,250,239,53,9,2023-04-28
